ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-70.8934,-44.7303,0,2016250,0,0,0,0,0
-70.8407,-44.9458,1,2016251,0,0,0,0,0
-70.823,-45.0873,1,2016252,0,0,0,0,0
-70.7532,-45.2109,1,2016253,0,0,0,0,0
-70.6523,-45.124,1,2016254,0,0,0,0,0
-70.5724,-45.1222,0,2016255,0,0,0,0,0
-70.498,-45.1205,1,2016256,0,0,0,0,0
-70.4197,-45.1026,1,2016257,0,0,0,0,0
-70.3978,-45.1459,0,2016258,0,0,0,0,0
-70.3775,-45.2333,1,2016259,0,0,0,0,0
-70.3217,-45.3551,1,2016260,0,0,0,0,0
-70.2356,-45.3531,1,2016261,0,0,0,0,0
-70.2146,-45.3781,1,2016262,0,0,0,0,0
-70.2164,-45.4304,0,2016263,0,0,0,0,0
-70.2197,-45.4946,0,2016264,0,0,0,0,0
-70.2215,-45.5265,1,2016265,0,0,0,0,0
-70.2058,-45.527,1,2016266,0,0,0,0,0
-70.2058,-45.527,1,2016267,0,0,0,0,0
-70.199,-45.5467,1,2016268,0,0,0,0,0
-70.0815,-45.6344,1,2016269,0,0,0,0,0
-70.0706,-45.5048,1,2016270,0,0,0,0,0
-70.0446,-45.4992,1,2016271,0,0,0,0,0
-70.0297,-45.542,1,2016272,0,0,0,0,0
-70.0297,-45.542,1,2016273,0,0,0,0,0
-70.0297,-45.542,1,2016274,0,0,0,0,0
-70.0087,-45.5191,1,2016275,0,0,0,0,0
-70.012,-45.4619,0,2016276,0,0,0,0,0
-70.0153,-45.4198,1,2016277,0,0,0,0,0
-70.0153,-45.4198,1,2016278,0,0,0,0,0
-70.0139,-45.4478,0,2016279,0,0,0,0,0
-70.0092,-45.5206,1,2016280,0,0,0,0,0
-69.9414,-45.7554,1,2016281,0,0,0,0,0
-69.9436,-45.7051,1,2016282,0,0,0,0,0
-69.9398,-45.7049,0,2016283,0,0,0,0,0
-69.9302,-45.7048,1,2016284,0,0,0,0,0
-69.9032,-45.8225,1,2016285,0,0,0,0,0
-69.8857,-45.8299,0,2016286,0,0,0,0,0
-69.8713,-45.8326,0,2016287,0,0,0,0,0
-69.8534,-45.8398,1,2016288,0,0,0,0,0
-69.8247,-45.9203,1,2016289,0,0,0,0,0
-69.7961,-46.0005,1,2016290,0,0,0,0,0
-69.7638,-46.0102,0,2016291,0,0,0,0,0
-69.7185,-46.0133,1,2016292,0,0,0,0,0
-69.6197,-46.0095,1,2016293,0,0,0,0,0
-69.6083,-45.983,0,2016294,0,0,0,0,0
-69.6046,-45.9329,1,2016295,0,0,0,0,0
-69.6046,-45.8547,1,2016296,0,0,0,0,0
-69.6476,-46.0215,1,2016297,0,0,0,0,0
-69.6539,-46.0795,1,2016298,0,0,0,0,0
-69.6455,-45.8973,1,2016299,0,0,0,0,0
-69.6504,-45.9474,0,2016300,0,0,0,0,0
-69.6553,-45.9974,1,2016301,0,0,0,0,0
-69.6187,-45.9747,1,2016302,0,0,0,0,0
-69.6399,-45.9591,1,2016303,0,0,0,0,0
-69.611,-45.8342,1,2016304,0,0,0,0,0
-69.6736,-46.0228,0,2016305,0,0,0,0,0
-69.74,-46.2114,1,2016306,0,0,0,0,0
-69.7444,-46.185,1,2016307,0,0,0,0,0
-69.7576,-46.0265,1,2016308,0,0,0,0,0
-69.8149,-46.0324,1,2016309,0,0,0,0,0
-69.837,-46.1311,1,2016310,0,0,0,0,0
-69.8086,-46.0852,1,2016311,0,0,0,0,0
-69.8216,-46.0871,0,2016312,0,0,0,0,0
-69.8507,-46.0928,1,2016313,0,0,0,0,0
-69.906,-46.14,1,2016314,0,0,0,0,0
-69.99,-46.1069,1,2016315,0,0,0,0,0
-70.0281,-46.1069,0,2016316,0,0,0,0,0
-70.0611,-46.107,1,2016317,0,0,0,0,0
-70.111,-46.2114,1,2016318,0,0,0,0,0
-70.0922,-46.3837,0,2016319,0,0,0,0,0
-70.0698,-46.6113,1,2016320,0,0,0,0,0
-70.065,-46.9048,1,2016321,0,0,0,0,0
-70.082,-46.9698,0,2016322,0,0,0,0,0
-70.1099,-47.0205,1,2016323,0,0,0,0,0
-70.1315,-47.1218,1,2016324,0,0,0,0,0
-70.1084,-47.3036,1,2016325,0,0,0,0,0
-70.1005,-47.3286,0,2016326,0,0,0,0,0
-70.0926,-47.3436,1,2016327,0,0,0,0,0
-70.0704,-47.3631,1,2016328,0,0,0,0,0
-70.0704,-47.3631,1,2016329,0,0,0,0,0
-70.0704,-47.3631,1,2016330,0,0,0,0,0
-70.0774,-47.3442,1,2016331,0,0,0,0,0
-70.0774,-47.3442,1,2016332,0,0,0,0,0
-70.1053,-47.3093,1,2016333,0,0,0,0,0
-70.0855,-47.4033,1,2016334,0,0,0,0,0
-70.0749,-47.4226,0,2016335,0,0,0,0,0
-70.0701,-47.4447,1,2016336,0,0,0,0,0
-70.0954,-47.6995,1,2016337,0,0,0,0,0
-70.0925,-47.8225,1,2016338,0,0,0,0,0
-70.1192,-47.9094,1,2016339,0,0,0,0,0
-70.128,-47.9936,0,2016340,0,0,0,0,0
-70.1315,-48.0749,1,2016341,0,0,0,0,0
-70.1013,-48.1516,1,2016342,0,0,0,0,0
-70.0716,-48.2296,1,2016343,0,0,0,0,0
-69.9298,-48.4915,0,2016344,0,0,0,0,0
-69.8107,-48.698,1,2016345,0,0,0,0,0
-69.8107,-48.698,1,2016346,0,0,0,0,0
-69.6965,-48.7998,1,2016347,0,0,0,0,0
-69.6237,-48.8647,1,2016348,0,0,0,0,0
-69.5491,-48.967,1,2016349,0,0,0,0,0
-69.5491,-48.967,1,2016350,0,0,0,0,0
